candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
B7-RULE-C001,INTEGRATED,drone_rules,Rules,B7-RULE-KT01,preflight manned-aircraft conflict,飛行開始前、予定空域付近を航行中の有人航空機を確認した。教則に最も合う対応はどれか。,無人航空機を離陸させ、接近した場合だけ降下して回避する,有人航空機を確認している間は無人航空機の飛行を開始しない,予定高度を半分に下げれば、有人航空機が見えていても飛行を開始できる,,B,教則は、飛行前に航行中の航空機を確認した場合には無人航空機の飛行を行わないとしている。衝突防止は飛行中の回避だけでなく、飛行開始前の不開始判断を含む。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)1)c「航空機又は他の無人航空機との衝突防止」（教則表示ページ22 / PDF viewer 27）,飛行前に航行中の航空機を確認した場合は、無人航空機の飛行を開始しない。,航空機との衝突防止は離陸後に回避操作を行えば足り、飛行前に航空機を確認しても離陸してよい。,preflight traffic observation -> manned aircraft present -> no-launch decision,Tier B。parent=collision prevention with manned aircraft。distinct axes=scenario_state_or_flight_phase + decision_boundary_or_exception。Q051は飛行中の有人航空機遭遇後の対応、Q170は飛行中の継続監視を問う。本問は離陸前のno-launch境界を問う。,DRONE-Q-000216
B7-RULE-C002,INTEGRATED,drone_rules,Rules,B7-RULE-KT02,preflight coordination with another UAS,飛行開始前、同じ周辺空域で別の無人航空機が飛行することを確認した。教則に最も合う対応はどれか。,相手の操縦者と飛行日時・経路・高度などを調整する,互いに目視で避ける予定なら、事前の調整は不要である,自機を先に離陸させ、その後に相手へ経路を通知すればよい,,A,教則は、飛行前に他の無人航空機の飛行を確認した場合、他の無人航空機を飛行させる者と飛行日時、経路、高度等について調整することとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)1)c「航空機又は他の無人航空機との衝突防止」（教則表示ページ22 / PDF viewer 27）,飛行前に他の無人航空機の飛行を確認した場合は、相手の操縦者と飛行日時・経路・高度等を調整する。,他の無人航空機が飛んでいても、目視で避ける予定なら事前調整は不要である。,preflight UAS traffic -> identify another operator -> coordinate time/route/altitude,Tier A。Q170は飛行中に他の無人航空機等を継続監視する論点であり、飛行前の操縦者間調整義務は直接問っていない。,DRONE-Q-000217
B7-RULE-C003,INTEGRATED,drone_rules,Rules,B7-RULE-KT03,inflight coordination with another UAS,飛行中に別の無人航空機を確認し、接近するおそれもある。教則に最も合う一連の対応はどれか。,一時的に距離を広げれば、その後の操縦者間調整は不要である,安全な間隔を確保し、接近・衝突のおそれがあれば降下等の措置を取り、飛行日時・経路・高度等も相手と調整する,自機の高度を上げて相手の上空へ移れば、相手への連絡は不要である,,B,教則は、飛行中に他の無人航空機を確認した場合は安全な間隔を確保し、接近又は衝突のおそれがあるときは降下等の措置を講じるとともに、相手の操縦者と飛行日時、経路、高度等を調整することとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)1)c「航空機又は他の無人航空機との衝突防止」（教則表示ページ22 / PDF viewer 27）,飛行中に他の無人航空機を確認した場合は安全な間隔を確保し、衝突のおそれがあれば回避措置と操縦者間調整を行う。,他の無人航空機との距離を一時的に広げれば、その後の操縦者間調整は不要である。,inflight UAS encounter -> establish separation -> collision-risk escalation -> avoidance plus coordination,Tier B。parent=collision prevention with another UAS。distinct axes=scenario_state_or_flight_phase + response_sequence_or_priority。Q051は有人航空機との遭遇、Q170は一般的な継続監視。本問はUAS同士の遭遇後の分離・回避・調整の連続判断を問う。,DRONE-Q-000218
B7-RULE-C004,INTEGRATED,drone_rules,Rules,B7-RULE-KT04,nuisance-flight prohibition,次の飛行方法のうち、教則が禁止する「他人に迷惑を及ぼす方法での飛行」に該当するものはどれか。,緊急回避のため必要な範囲で速やかに降下する,飛行上の必要がないのに急降下したり、人へ急接近したりする,通常の離陸時に機体から作動音が生じる,,B,教則は、飛行上の必要がない高調音、急降下、人への急接近など、他人に迷惑を及ぼす方法で無人航空機を飛行させてはならないとしている。必要な安全操作と、必要のない迷惑飛行は区別される。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)1)d「他人に迷惑を及ぼす方法での飛行禁止」（教則表示ページ22 / PDF viewer 27）,飛行上の必要がない高調音、急降下、人への急接近など、他人に迷惑を及ぼす方法で飛行してはならない。,空域・飛行方法の許可条件を満たしていれば、必要のない急降下や人への急接近も許される。,flight conduct -> no operational necessity -> nuisance behavior -> prohibited method,Tier A。現行canonicalに、飛行上の必要性を境界として迷惑飛行そのものを直接判定させる問題はない。,DRONE-Q-000219
B7-RULE-C005,INTEGRATED,drone_rules,Rules,B7-RULE-KT05,registered-aircraft continuing maintenance duty,登録済みの無人航空機を継続使用している。安全性が低下し、登録記号の表示も剥がれかけている。使用者の義務として教則に最も合うものはどれか。,登録時に要件を満たしていたので、安全性が低下しても次回登録まで整備は不要である,整備や必要な改造により安全上登録できない状態にならないよう維持し、登録記号の表示も維持する,登録記号だけ貼り直せば、安全性の維持は使用者の義務ではない,,B,教則は、登録無人航空機の使用者に対し、整備や必要な改造により安全上登録できない状態にならないよう維持し、登録記号の表示も維持する義務を示している。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)1)e「使用者の整備及び改造の義務」（教則表示ページ22 / PDF viewer 27）,登録無人航空機の使用者は、安全上の登録適格性と登録記号表示を継続的に維持する。,機体登録は取得時だけの要件であり、登録後に安全性が低下しても登録記号さえ残っていればよい。,registered aircraft in service -> continuing safety eligibility + marking -> maintenance duty,Tier A。Q102は登録拒否となる初期条件、Q108は登録情報変更を問う。本問は登録後の継続的な安全適格性・表示維持義務を問う。,DRONE-Q-000220
B7-RULE-C006,INTEGRATED,drone_rules,Rules,B7-RULE-KT06,serious-incident reporting,飛行中に無人航空機が一時的に制御不能となったが、墜落や負傷・物損には至らず、その後に制御を回復した。教則に最も合う扱いはどれか。,事故が発生していないため、国土交通大臣への報告対象にはならない,事故に至っていなくても重大インシデントとして国土交通大臣への報告対象となる,飛行日誌へ記録すれば足り、重大インシデントとしての報告は不要である,,B,教則は、無人航空機の制御が不能となった事態を、事故に至らなくても国土交通大臣への報告が必要な重大インシデントの例として示している。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)1)f イ「重大インシデントの報告」（教則表示ページ22-23 / PDF viewer 27-28）,事故に至らなくても、制御不能など所定の重大インシデントは国土交通大臣への報告対象となる。,事故に該当しない事態は、危険性が高くても国土交通大臣への報告義務がない。,event without reportable accident -> serious-incident category -> mandatory report,Tier A。Q052/Q214は事故発生時の対応・報告を問う。本問は事故に至らない制御不能という重大インシデントの独立した報告分岐を問う。,DRONE-Q-000221
B7-RULE-C007,INTEGRATED,drone_rules,Rules,B7-RULE-KT07,flight-plan required data,特定飛行の飛行計画を通報する際、飛行日時と経路だけを入力した。教則上、追加して通報すべき事項の組合せとして最も適切なものはどれか。,機体・操縦者情報、目的・高度・速度、対象空域・飛行方法、出発地・目的地・所要時間、立入管理措置、保険契約など,操縦者の氏名と機体の色だけ,飛行後の整備結果と過去1年間の全飛行記録だけ,,A,教則は、特定飛行の飛行計画について、機体・操縦者情報、飛行目的・高度・速度、対象空域・方法、出発地・目的地・所要時間、立入管理措置、保険契約等の所定事項を通報することとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)2)a「飛行計画の通報等」（教則表示ページ23 / PDF viewer 28）,特定飛行の飛行計画には、機体・操縦者・運航・立入管理・保険等の所定事項を含めて通報する。,特定飛行の通報は飛行日時と経路だけ入力すれば足りる。,specific flight -> notification requirement -> assemble required operational and risk-control fields,Tier A。Q053は通報後の計画遵守、Q110は通報時期を問う。通報すべき情報セット自体は未出。,DRONE-Q-000222
B7-RULE-C008,INTEGRATED,drone_rules,Rules,B7-RULE-KT08,minister-directed flight-plan change,特定飛行の飛行計画を通報した後、安全確保のため国土交通大臣から飛行日時・経路の変更を指示された。教則に最も合う対応はどれか。,安全確保のためやむを得ない場合を除き、その変更指示に従う,一度通報した計画は固定されるため、変更指示には従わなくてよい,変更指示を受けた場合は、事情にかかわらず必ず飛行そのものを中止する,,A,教則は、安全確保のため国土交通大臣から特定飛行の日時・経路等の変更を指示された場合、その指示に従うことを求めている。ただし、安全確保のためやむを得ない場合は例外とされる。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)2)a「飛行計画の通報等」（教則表示ページ23 / PDF viewer 28）,国土交通大臣から安全上の飛行計画変更を指示された場合は、やむを得ない安全上の例外を除き従う。,一度通報した飛行計画は、国土交通大臣から安全上の変更指示があっても操縦者の判断で維持できる。,notified plan -> authority issues safety change -> comply unless safety necessity prevents it,Tier B。parent=adherence to a notified flight plan。distinct axes=decision_boundary_or_exception + reasoning_path。Q053の操縦者による任意変更とは異なり、本問は大臣による安全上の変更指示と例外条件を評価する。,DRONE-Q-000223
B7-RULE-C009,INTEGRATED,drone_rules,Rules,B7-RULE-KT09,flight-log medium and accessibility,特定飛行で飛行日誌を電子データとして保存しているが、飛行場所では通信できず、その場で表示・提示できない。教則に最も合う判断はどれか。,電子データとして保存していれば、その場で参照できなくても携行要件を満たす,紙・電子の別は問わないが、必要に応じ速やかに参照・提示できる状態でなければならない,特定飛行の飛行日誌は必ず紙で携行しなければならない,,B,教則は、飛行日誌を紙又は電子データのいずれでもよいとしている一方、必要に応じて速やかに参照・提示できる状態で携行することを求めている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)2)b「飛行日誌の携行及び記載」（教則表示ページ23 / PDF viewer 28）,特定飛行で携行する飛行日誌は紙・電子いずれでもよいが、必要時に速やかに参照・提示できる状態にする。,電子データで保存していれば、現場で速やかに表示できなくても携行要件を満たす。,special flight -> choose log medium -> ensure immediate practical access/presentation,Tier A。Q042/Q111/Q211は日誌の種類・携行等を問うが、媒体自由と速やかな参照・提示可能性を組み合わせた条件は直接問っていない。,DRONE-Q-000224
B7-RULE-C010,INTEGRATED,drone_rules,Rules,B7-RULE-KT10,flight-record content,飛行後、飛行記録に「飛行場所」と「飛行時間」だけを記載した。教則上、飛行記録に含める事項として追加が必要なものはどれか。,飛行年月日、離着陸場所・時刻、操縦者、不具合とその対応など,機体の購入価格と販売店名だけ,保険会社の担当者名だけ,,A,教則は、飛行記録に飛行年月日、離着陸場所・時刻、飛行時間、操縦者、不具合とその対応等を記載することとしている。,MLIT-UAS-SAFETY-GUIDE-5,5,教則 第3章 3.1.2(3)2)b「飛行日誌の携行及び記載」（教則表示ページ23 / PDF viewer 28）,飛行記録には、年月日、離着陸場所・時刻、飛行時間、操縦者、不具合と対応等を記載する。,飛行日誌の飛行記録は飛行時間と場所だけ残せば足り、不具合や対応は別記録でよい。,"completed flight -> flight-record branch -> capture operational identity, timing, duration and anomalies/actions",Tier A。Q042は飛行日誌の記録区分を識別させる問題であり、本問はそのうち飛行記録の具体的内容を問う。,DRONE-Q-000225
