candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,choice5,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
E1-B103-HG-C001,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,display_brightness,情報機器作業用ディスプレイの調整としてガイドラインに適合するものはどれか。,明るさを固定する,明るさを最小にする,明るさを最大にする,調整機能を使わない,文字の見やすさに応じて輝度を調整できる,E,A：誤り。固定する必要はない。B：誤り。最小固定ではない。C：誤り。最大固定ではない。D：誤り。調整機能を使う。E：正しい。文字の見やすさに応じて輝度を調整できることが必要である。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 機器等,ディスプレイは文字の見やすさに応じて輝度を調整できる。,画面の明るさを固定すべきと混同する。,表示調整を確認する -> 輝度調整を選ぶ,Q180は照度を問うため別命題である.,EISEI1-Q-000341
E1-B103-HG-C002,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,display_contrast,情報機器作業用ディスプレイの文字表示としてガイドラインに適合するものはどれか。,文字と背景の区別を不要にする,文字を極端に小さくする,コントラストを調整しない,画面を常に暗くする,文字と背景の明暗の差を適切に調整できる,E,A：誤り。区別が必要である。B：誤り。極端に小さくしない。C：誤り。コントラストを調整する。D：誤り。常に暗くしない。E：正しい。文字と背景の明暗の差を適切に調整できる。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 機器等,文字と背景の明暗の差を適切に調整できる。,コントラスト調整を不要と混同する。,表示の見やすさを確認する -> 明暗差調整を選ぶ,Q181は室内照明を問うため別命題である.,EISEI1-Q-000342
E1-B103-HG-C003,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,display_tilt,ディスプレイ画面の角度についてガイドラインに適合するものはどれか。,角度を固定して変えない,画面を必ず床に向ける,画面を必ず天井に向ける,画面を背中側に向ける,作業者の姿勢に合わせて調整できる,E,A：誤り。固定しない。B：誤り。床に限定しない。C：誤り。天井に限定しない。D：誤り。背中側に向けない。E：正しい。画面は作業者の姿勢に合わせて調整できる。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 機器等,ディスプレイ画面は作業者の姿勢に合わせて調整できる。,画面角度を固定すべきと混同する。,表示面の調整を確認する -> 姿勢に合わせた角度調整を選ぶ,Q195はディスプレイの基本要件を問うため別命題である.,EISEI1-Q-000343
E1-B103-HG-C004,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,keyboard_separate,デスクトップ型情報機器で使用するキーボードとしてガイドラインに適合するものはどれか。,ディスプレイと一体で動かせないものだけ,机の下に固定するもの,手の届かない位置に置くもの,毎回新しいものに交換するもの,ディスプレイから分離して位置を調整できるもの,E,A：誤り。一体固定だけではない。B：誤り。机下固定ではない。C：誤り。手の届く位置に置く。D：誤り。毎回交換するものではない。E：正しい。キーボードはディスプレイから分離して位置を調整できる。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 キーボード,キーボードはディスプレイから分離して位置を調整できる。,キーボードの位置調整を不要と混同する。,入力機器の配置を確認する -> 分離して位置調整を選ぶ,Q205はキーボード一般を問うため分離配置を問う本問と別命題である.,EISEI1-Q-000344
E1-B103-HG-C005,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,keyboard_tilt,キーボードの角度についてガイドラインに適合するものはどれか。,角度を必ず90度にする,角度を調整できないものにする,常に垂直にする,角度を作業者以外が固定する,作業者が適切な角度に調整できる,E,A：誤り。90度固定ではない。B：誤り。調整できることが必要である。C：誤り。垂直固定ではない。D：誤り。他者固定ではない。E：正しい。作業者が適切な角度に調整できる。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 キーボード,キーボードは作業者が適切な角度に調整できる。,キーボード角度の調整を不要と混同する。,入力姿勢を確認する -> 角度調整を選ぶ,Q254は作業台を問うため別命題である.,EISEI1-Q-000345
E1-B103-HG-C006,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,pointer_location,マウス等のポインティングデバイスの配置としてガイドラインに適合するものはどれか。,頭上に固定する,机の外に置く,足元だけで操作する,背中側に置く,キーボードの近くに置き容易に操作できる,E,A：誤り。頭上固定ではない。B：誤り。机外ではない。C：誤り。足元だけではない。D：誤り。背中側ではない。E：正しい。キーボードの近くに置き容易に操作できる。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 入力機器,ポインティングデバイスはキーボードの近くに置き容易に操作できる。,入力機器を手の届かない場所へ置くと混同する。,ポインティングデバイス配置を確認する -> キーボード近くで容易に操作を選ぶ,Q253はマウスそのものを問うため配置を問う本問と別命題である.,EISEI1-Q-000346
E1-B103-HG-C007,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,chair_height,情報機器作業用の椅子としてガイドラインに適合するものはどれか。,座面の高さを固定する,背もたれを不要にする,座面を極端に小さくする,脚を一脚だけにする,座面の高さを調整できる,E,A：誤り。高さを調整できる。B：誤り。背もたれが必要である。C：誤り。極端に小さくしない。D：誤り。一脚だけではない。E：正しい。座面の高さを調整できる。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 椅子,椅子は座面の高さを調整できる。,座面高の調整を不要と混同する。,椅子の調整を確認する -> 座面高調整を選ぶ,Q255は椅子一般を問うため座面高を問う本問と別命題である.,EISEI1-Q-000347
E1-B103-HG-C008,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,chair_backrest,情報機器作業用の椅子の背もたれとしてガイドラインに適合するものはどれか。,背もたれを外す,背もたれを動かせないようにする,背もたれを床に向ける,背もたれを天井に向ける,背もたれの傾きを調整できる,E,A：誤り。背もたれを外さない。B：誤り。調整できることが必要である。C：誤り。床に向けない。D：誤り。天井に向けない。E：正しい。背もたれの傾きを調整できる。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 椅子,椅子は背もたれの傾きを調整できる。,背もたれの傾き調整を不要と混同する。,椅子の支持調整を確認する -> 背もたれ傾き調整を選ぶ,Q255は椅子全体の条件を問うため別命題である.,EISEI1-Q-000348
E1-B103-HG-C009,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,work_surface_space,情報機器作業用の作業台についてガイドラインに適合するものはどれか。,機器を置く空間を不要にする,作業台を極端に狭くする,作業面を常に傾ける,書類を置けないようにする,機器と書類を適切に配置できる十分な広さを有する,E,A：誤り。空間が必要である。B：誤り。極端に狭くしない。C：誤り。常に傾けるものではない。D：誤り。書類も配置する。E：正しい。機器と書類を適切に配置できる十分な広さを有する。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 作業台,作業台は機器と書類を適切に配置できる十分な広さを有する。,作業台の作業空間を不要と混同する。,作業台の条件を確認する -> 機器書類を配置できる広さを選ぶ,Q254は作業台の基本を問うため作業空間を問う本問と別命題である.,EISEI1-Q-000349
E1-B103-HG-C010,INTEGRATED,eisei1_hygiene_general,労働衛生（有害業務以外）,E1-HG-001,document_holder,画面を見ながら書類を参照する情報機器作業で用いる書類台としてガイドラインに適合するものはどれか。,書類を床に置く,書類を背中側に置く,書類を頭上に置く,書類を常に手で持つ,書類を見やすい位置に保持できるもの,E,A：誤り。床置きではない。B：誤り。背中側ではない。C：誤り。頭上ではない。D：誤り。常に手で持つ必要はない。E：正しい。書類を見やすい位置に保持できる書類台を用いる。,E1-MHLW-INFO-EQUIPMENT,current-as-retrieved-2026-08-28,情報機器作業ガイドライン 4 書類台,書類台は書類を見やすい位置に保持できる。,書類参照時に保持具が不要と混同する。,書類参照の姿勢を確認する -> 見やすい位置に保持する書類台を選ぶ,Q180は照度を問うため別命題である.,EISEI1-Q-000350
