candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
O4-B6-LAW-C001,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,installation permission,指定数量以上の危険物を扱う製造所等を新たに設置しようとする場合、原則として必要な手続はどれか。,市町村長等の許可を受ける,使用開始後に口頭報告するだけ,危険物取扱者の自己承認だけ,一切の手続は不要,A,製造所等を設置しようとする者は、消防法第11条第1項により市町村長等の許可を受けなければならない。,O4-LAW-1,2026-08-25,消防法 第11条第1項,製造所等の設置には市町村長等の許可が必要である。,基準を守れば設置許可は不要である。,new facility -> installation plan -> obtain authority permission before installation,B6 first facility-permission proposition; distinct from canonical licensing/storage questions.,OTSU4-Q-000092
O4-B6-LAW-C002,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,change permission,既に許可を受けた製造所等の位置・構造・設備を変更しようとする場合、原則として正しいものはどれか。,変更後に写真だけ保存する,事前に市町村長等の変更許可を受ける,危険物取扱者がいれば自由に変更する,指定数量未満なら常に無届で変更する,B,製造所等の位置・構造・設備を変更するときも、消防法第11条第1項に基づく変更許可が原則として必要である。,O4-LAW-1,2026-08-25,消防法 第11条第1項,製造所等の位置・構造・設備の変更には原則として変更許可が必要である。,設置後の設備変更はすべて自由である。,existing facility -> planned structural/equipment change -> obtain change permission,B6 change-permission proposition; distinct from C001 installation.,OTSU4-Q-000093
O4-B6-LAW-C003,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,permission decision standards,製造所等の設置・変更許可の審査について、消防法上適切なものはどれか。,申請者の年齢だけで決める,技術上の基準は審査しない,位置・構造・設備が技術上の基準に適合し、公共の安全に支障がないかを審査する,危険物の品名に関係なく必ず許可する,C,許可は、製造所等の位置・構造・設備が技術上の基準に適合し、公共の安全の維持または災害防止に支障がないと認められる場合に行われる。,O4-LAW-1,2026-08-25,消防法 第11条第2項,設置・変更許可では技術上の基準適合性と公共安全上の支障の有無を審査する。,申請書を出せば基準不適合でも必ず許可される。,permission application -> check technical standards and public-safety risk -> grant or deny,B6 permission-decision gate; no canonical collision.,OTSU4-Q-000094
O4-B6-LAW-C004,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,completion inspection before use,設置工事を終えた製造所等を使用開始する時期として、消防法上正しいものはどれか。,工事が半分終われば使用できる,申請書を提出した日から使用できる,危険物取扱者が立ち会えば検査前でも使用できる,完成検査を受け、技術上の基準適合が認められた後に使用する,D,製造所等は、完成検査を受けて技術上の基準に適合すると認められる前には、原則として使用できない。,O4-LAW-1,2026-08-25,消防法 第11条第5項本文,製造所等は完成検査で基準適合が認められた後に使用する。,工事完成だけで検査前に使用開始できる。,construction completed -> completion inspection -> compliance confirmed -> use,B6 completion-inspection use boundary; absent from canonical.,OTSU4-Q-000095
O4-B6-LAW-C005,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,provisional use approval,変更工事中の製造所等で、変更していない部分を引き続き使用したい。消防法上適切な対応はどれか。,市町村長等の承認を受けた範囲で仮使用する,工事業者の判断だけで全施設を使用する,完成検査まで一切の承認は存在しない,危険物を減らせば無条件で使用する,A,変更工事に係らない部分は、市町村長等の承認を受けた場合に限り、完成検査前でも仮使用できる。,O4-LAW-1,2026-08-25,消防法 第11条第5項ただし書,変更工事に係らない部分の仮使用には市町村長等の承認が必要である。,変更工事中でも未変更部分は無承認で自由に使用できる。,change work -> identify unaffected portion -> obtain provisional-use approval -> limited use,B6 provisional-use exception; distinct from C004 general prohibition.,OTSU4-Q-000096
O4-B6-LAW-C006,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,transfer notification,製造所等の譲渡または引渡しを受けた者が行うべき手続として、消防法上正しいものはどれか。,免状を返納するだけ,遅滞なく市町村長等へ届け出る,10年後にだけ届け出る,届出は一切不要,B,製造所等の譲渡または引渡しがあったときは、譲受人等が遅滞なく市町村長等に届け出る。,O4-LAW-1,2026-08-25,消防法 第11条第6項,製造所等の譲渡・引渡しを受けた者は遅滞なく届け出る。,施設の所有者が変わっても届出は不要である。,facility transfer/delivery -> successor -> notify authority without delay,B6 ownership-transition duty; distinct from B2 supervisor notifications.,OTSU4-Q-000097
O4-B6-LAW-C007,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,quantity change advance notice,製造所等で貯蔵・取扱いする危険物の品名、数量または指定数量の倍数を変更する場合、消防法上の届出時期として正しいものはどれか。,変更後30日以内,変更と同時,変更しようとする日の10日前まで,次回更新時だけ,C,品名・数量・指定数量の倍数の変更は、変更しようとする日の10日前までに届け出る。,O4-LAW-1,2026-08-25,消防法 第11条の4第1項,危険物の品名・数量・指定数量倍数の変更は10日前までに届け出る。,数量変更は実施後に届け出ればよい。,planned name/quantity/multiple change -> count back 10 days -> notify,B6 advance-notice boundary; distinct from B1 quantity calculations.,OTSU4-Q-000098
O4-B6-LAW-C008,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,maintenance of technical standards,製造所等の所有者等が維持すべきものとして、消防法上正しいものはどれか。,購入者の学歴,従業員の私物,広告の色,製造所等の位置・構造・設備を技術上の基準に適合した状態,D,所有者等は、製造所等の位置・構造・設備を技術上の基準に適合するよう維持しなければならない。,O4-LAW-1,2026-08-25,消防法 第12条第1項,製造所等の位置・構造・設備は技術上の基準に適合するよう維持する。,許可時だけ適合していれば、その後の維持は不要である。,facility in service -> maintain position/structure/equipment standards continuously,B6 continuing maintenance duty; no canonical collision.,OTSU4-Q-000099
O4-B6-LAW-C009,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,repair change relocation order,製造所等の位置・構造・設備が技術上の基準に適合していない。市町村長等が取り得る措置として適切なものはどれか。,修理・改造・移転を命ずる,必ず無条件で放置する,危険物取扱者免状だけ更新する,販売価格を決定する,A,基準不適合がある場合、市町村長等は所有者等に対し、修理、改造または移転を命ずることができる。,O4-LAW-1,2026-08-25,消防法 第12条第2項,基準不適合の製造所等には修理・改造・移転命令が可能である。,基準不適合でも行政は是正を命じられない。,detect standards noncompliance -> authority -> repair/change/relocation order,B6 enforcement proposition; distinct from permission review.,OTSU4-Q-000100
O4-B6-LAW-C010,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,completion inspection application,製造所等の完成検査を受けるための手続として、政令上正しいものはどれか。,口頭で消防署に伝えるだけ,所定事項を記載した申請書を市町村長等へ提出する,危険物販売店へ申請する,申請せず自分で検査済証を作る,B,完成検査を受けようとする者は、政令第8条に基づき申請書を市町村長等へ提出する。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第8条第1項,完成検査は申請書を市町村長等へ提出して受ける。,完成検査は申請なしで自己実施できる。,construction complete -> submit completion-inspection application -> authority inspection,B6 procedural application; no canonical collision.,OTSU4-Q-000101
O4-B6-LAW-C011,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,inspection without delay,完成検査の申請を受けた市町村長等の対応として、政令上正しいものはどれか。,申請を必ず1年間保留する,書類を返却して検査しない,遅滞なく検査を行う,申請者自身に合否を決めさせる,C,市町村長等は、完成検査の申請を受けたときは遅滞なく検査を行う。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第8条第2項,完成検査申請後、市町村長等は遅滞なく検査する。,行政は完成検査を無期限に行わなくてよい。,application received -> authority acts without delay -> inspect,B6 authority-timing proposition; distinct from application requirement.,OTSU4-Q-000102
O4-B6-LAW-C012,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,completion certificate issuance,完成検査の結果、製造所等が技術上の基準に適合していると認められた場合、政令上の対応はどれか。,免状を没収する,施設を必ず解体する,申請を自動的に取消す,完成検査済証を交付する,D,技術上の基準に適合すると認められた場合、市町村長等は完成検査済証を交付する。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第8条第3項,完成検査で基準適合が認められれば完成検査済証が交付される。,基準適合でも検査済証は交付されない。,inspection -> standards compliant -> issue completion certificate,B6 certificate issuance; no canonical collision.,OTSU4-Q-000103
O4-B6-LAW-C013,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,certificate reissue,完成検査済証を亡失または滅失した場合、政令上認められている対応はどれか。,再交付を申請する,新たな施設を必ず建設する,危険物取扱者試験を再受験する,何もできない,A,完成検査済証を亡失または滅失したときは、再交付を申請できる。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第8条第4項,完成検査済証を亡失・滅失した場合は再交付申請ができる。,検査済証を失うと再交付制度はない。,certificate lost/destroyed -> apply for reissue,B6 document-reissue proposition; distinct from issuance.,OTSU4-Q-000104
O4-B6-LAW-C014,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,old certificate found after reissue,完成検査済証の再交付を受けた後、亡失した旧検査済証を発見した。政令上の対応として正しいものはどれか。,旧検査済証を永久に保管する,発見した日から10日以内に提出する,旧検査済証を販売する,次の完成検査まで何もしない,B,再交付後に旧検査済証を発見した場合は、発見した日から10日以内に市町村長等へ提出する。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第8条第5項,再交付後に旧完成検査済証を発見した場合は10日以内に提出する。,再交付後に旧証を発見しても提出不要である。,reissued certificate -> old certificate found -> submit within 10 days,B6 precise 10-day boundary; no canonical collision.,OTSU4-Q-000105
O4-B6-LAW-C015,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,installation application hazardous material fields,製造所等の設置許可申請書に記載する危険物情報として、政令上含まれるものはどれか。,申請者の趣味だけ,近隣店舗の売上,危険物の類・品名・最大数量,従業員の学歴,C,設置許可申請には、貯蔵または取り扱う危険物の類、品名および最大数量を記載する。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第6条第1項第4号,設置許可申請書には危険物の類・品名・最大数量を記載する。,設置申請には危険物の種類や数量を記載しない。,installation application -> identify hazardous material class/name/max quantity -> record,B6 application-field recall; distinct from canonical quantity calculations.,OTSU4-Q-000106
O4-B6-LAW-C016,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,installation application specified quantity multiple,製造所等の設置許可申請において、危険物の数量と併せて記載する指標として政令上正しいものはどれか。,従業員数の倍数,建物価格の倍数,試験合格率,指定数量の倍数,D,設置許可申請には、貯蔵または取り扱う危険物の指定数量の倍数を記載する。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第6条第1項第5号,設置許可申請書には指定数量の倍数を記載する。,指定数量の倍数は申請事項ではない。,hazard quantity -> divide by specified quantity -> state multiple in application,B6 administrative use of multiple; distinct from B1 numerical answer propositions.,OTSU4-Q-000107
O4-B6-LAW-C017,VERIFIED,otsu4_law,法令,O4-LAW-KT-FACILITIES-INSPECTION,change application content and reason,製造所等の変更許可申請で、変更箇所に関して記載すべき内容として適切なものはどれか。,変更の内容と理由,担当者の好きな色,受験予定日だけ,近隣人口の推測だけ,A,変更許可申請では、変更の内容および理由を明らかにし、必要な図面等を添える。,O4-LAW-2,2026-08-25,危険物の規制に関する政令 第7条第1項,変更許可申請には変更内容と理由を記載する。,変更許可申請では何をなぜ変えるか示す必要がない。,planned facility change -> describe content and reason -> attach required plans,B6 change-application evidence; distinct from C002 permission duty.,OTSU4-Q-000108
